split,method,bin,count,mean_probability,event_rate,absolute_gap
iid_test,raw,1,300,0.019826972532582417,0.023333333333333334,0.003506360800750917
iid_test,raw,2,300,0.04839161616950399,0.06333333333333334,0.014941717163829346
iid_test,raw,3,300,0.0834195615214246,0.10333333333333333,0.01991377181190873
iid_test,raw,4,300,0.1253800592525341,0.14666666666666667,0.021286607414132575
iid_test,raw,5,300,0.17301518787748493,0.18,0.0069848121225150606
iid_test,raw,6,300,0.23562825202718093,0.27666666666666667,0.04103841463948574
iid_test,raw,7,300,0.30722415476528014,0.3333333333333333,0.02610917856805317
iid_test,raw,8,300,0.40479213427020677,0.35333333333333333,0.05145880093687344
iid_test,raw,9,300,0.5367635074378487,0.5066666666666667,0.03009684077118202
iid_test,raw,10,300,0.7416687309204142,0.7166666666666667,0.025002064253747514
iid_test,platt,1,300,0.038789087675789834,0.023333333333333334,0.0154557543424565
iid_test,platt,2,300,0.07872226493934457,0.06333333333333334,0.015388931606011236
iid_test,platt,3,300,0.11995754281584563,0.10333333333333333,0.016624209482512295
iid_test,platt,4,300,0.16395174727924697,0.14666666666666667,0.0172850806125803
iid_test,platt,5,300,0.2097581472109903,0.18,0.029758147210990293
iid_test,platt,6,300,0.2657284119339302,0.27666666666666667,0.010938254732736463
iid_test,platt,7,300,0.32614480711748023,0.3333333333333333,0.007188526215853086
iid_test,platt,8,300,0.4052812491626767,0.35333333333333333,0.05194791582934338
iid_test,platt,9,300,0.5108508898201356,0.5066666666666667,0.004184223153468891
iid_test,platt,10,300,0.6875040260123741,0.7166666666666667,0.029162640654292526
iid_test,isotonic,1,300,0.0032219051820728288,0.03333333333333333,0.030111428151260503
iid_test,isotonic,2,300,0.07576467232783704,0.05,0.025764672327837038
iid_test,isotonic,3,300,0.14037408188572761,0.11333333333333333,0.027040748552394286
iid_test,isotonic,4,300,0.16853900881235345,0.16333333333333333,0.005205675479020122
iid_test,isotonic,5,300,0.18607444009991306,0.15666666666666668,0.02940777343324638
